Code,Signature,Group,Limits,Monday,Tuesday,Wednesday,Thursday,Friday
13,SISTEMAS DIGITALES,A,De:,2021-06-01 00:00:00,2021-06-01 15:50:00,2021-06-01 18:30:00,2021-06-01 00:00:00,2021-06-01 00:00:00
13,SISTEMAS DIGITALES,A,A:,2021-06-01 00:00:00,2021-06-01 18:30:00,2021-06-01 20:10:00,2021-06-01 00:00:00,2021-06-01 00:00:00
14,SISTEMAS DIGITALES,B,De:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 09:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00
14,SISTEMAS DIGITALES,B,A:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 11:30:00,2021-06-01 00:00:00,2021-06-01 00:00:00
14,SISTEMAS DIGITALES,B,De:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 15:50:00,2021-06-01 00:00:00,2021-06-01 00:00:00
14,SISTEMAS DIGITALES,B,A:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 18:30:00,2021-06-01 00:00:00,2021-06-01 00:00:00
15,SISTEMAS DIGITALES,C,De:,2021-06-01 13:10:00,2021-06-01 19:20:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
15,SISTEMAS DIGITALES,C,A:,2021-06-01 15:40:00,2021-06-01 21:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
