Code,Signature,Group,Limits,Monday,Tuesday,Wednesday,Thursday,Friday
10,PROCESAMIENTO DIGITAL DE SEÑALES,A,De:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 15:50:00,2021-06-01 00:00:00,2021-06-01 18:30:00
10,PROCESAMIENTO DIGITAL DE SEÑALES,A,A:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 18:30:00,2021-06-01 00:00:00,2021-06-01 20:10:00
11,PROCESAMIENTO DIGITAL DE SEÑALES,B,De:,2021-06-01 00:00:00,2021-06-01 18:30:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 15:50:00
11,PROCESAMIENTO DIGITAL DE SEÑALES,B,A:,2021-06-01 00:00:00,2021-06-01 20:10:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 18:30:00
12,PROCESAMIENTO DIGITAL DE SEÑALES,C,De:,2021-06-01 18:30:00,2021-06-01 00:00:00,2021-06-01 17:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00
12,PROCESAMIENTO DIGITAL DE SEÑALES,C,A:,2021-06-01 20:10:00,2021-06-01 00:00:00,2021-06-01 20:10:00,2021-06-01 00:00:00,2021-06-01 00:00:00
