Code,Signature,Group,Limits,Monday,Tuesday,Wednesday,Thursday,Friday
4,PROBLEMAS ACTUALES DE LA SOCIEDAD,A,De:,2021-06-01 09:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
4,PROBLEMAS ACTUALES DE LA SOCIEDAD,A,A:,2021-06-01 12:20:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
5,PROBLEMAS ACTUALES DE LA SOCIEDAD,B,De:,2021-06-01 00:00:00,2021-06-01 09:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
5,PROBLEMAS ACTUALES DE LA SOCIEDAD,B,A:,2021-06-01 00:00:00,2021-06-01 12:20:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
6,PROBLEMAS ACTUALES DE LA SOCIEDAD,C,De:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 09:40:00,2021-06-01 00:00:00,2021-06-01 00:00:00
6,PROBLEMAS ACTUALES DE LA SOCIEDAD,C,A:,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 12:20:00,2021-06-01 00:00:00,2021-06-01 00:00:00
